N-gram,Frequency
too heavy handed,44
beautiful film but,44
film but so,44
but so preachy,44
amazing cast set,44
cast set but,44
set but the,44
but the political,44
the political message,44
political message was,44
message was too,44
was too strong,44
a hot pink,44
hot pink mess,44
people are missing,44
are missing the,44
missing the point,44
it was depressing,44
could have been,87
have been great,44
been great 2nd,44
great 2nd half,44
2nd half brings,44
half brings it,44
brings it down,44
the marketing was,44
marketing was more,44
was more entertaining,44
more entertaining than,44
entertaining than the,44
than the actual,44
the actual movie,44
somewhat of a,44
of a jumbled,44
a jumbled mess,44
strong start and,44
start and that,44
and that s,44
that s it,44
a technicolor dream,43
it could have,43
have been so,43
been so much,43
so much better,43
well this really,43
this really did,43
really did come,43
did come as,43
come as a,43
as a surprise,43
my mom and,43
mom and i,43
and i saw,43
i saw this,43
saw this yesterday,43
this yesterday here,43
yesterday here are,43
here are my,43
are my thoughts,43
disappointing terribly preachy,43
terribly preachy and,43
preachy and horrendous,43
and horrendous script,43
horrendous script great,43
script great cast,43
ken out of,43
out of ten,43
brilliant observations but,43
observations but social,43
but social depth,43
social depth is,43
depth is missing,43
did i watch,43
i watch the,43
watch the same,43
the same movie,43
same movie as,43
movie as everyone,43
as everyone else,43
everyone else lol,43
3 reasons for,43
reasons for seeing,43
for seeing it,43
seeing it and,43
it and 1,43
and 1 reason,43
1 reason against,43
not for everyone,43
fun film whose,43
film whose script,43
whose script falls,43
script falls in,43
falls in on,43
in on itself,43
